antecedent,consequent,support,confidence,lift,itemset_size,min_support,min_confidence,min_lift,parameter_set,rule_id
eggs;bread,butter,0.2857,0.6667,1.5556,3,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000030
eggs;butter,bread,0.2857,1.0,1.4,3,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000031
eggs;butter,milk;bread,0.1429,0.5,1.1667,4,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000032
milk;butter,eggs;bread,0.1429,0.5,1.1667,4,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000033
eggs;milk;butter,bread,0.1429,1.0,1.4,4,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000034
eggs;milk;bread,butter,0.1429,1.0,2.3333,4,0.1,0.5,1.0,s0.1_c0.5_l1.0,rule_000035
butter,milk;bread,0.2857,0.6667,1.5556,3,0.1,0.5,1.5,s0.1_c0.5_l1.5,rule_000036
milk;bread,butter,0.2857,0.6667,1.5556,3,0.1,0.5,1.5,s0.1_c0.5_l1.5,rule_000037
butter,eggs;bread,0.2857,0.6667,1.5556,3,0.1,0.5,1.5,s0.1_c0.5_l1.5,rule_000038
eggs;bread,butter,0.2857,0.6667,1.5556,3,0.1,0.5,1.5,s0.1_c0.5_l1.5,rule_000039
eggs;milk;bread,butter,0.1429,1.0,2.3333,4,0.1,0.5,1.5,s0.1_c0.5_l1.5,rule_000040
bread,butter,0.4286,0.6,1.4,2,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000041
butter,bread,0.4286,1.0,1.4,2,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000042
butter,milk;bread,0.2857,0.6667,1.5556,3,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000043
bread,milk;butter,0.2857,0.4,1.4,3,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000044
milk;butter,bread,0.2857,1.0,1.4,3,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000045
milk;bread,butter,0.2857,0.6667,1.5556,3,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000046
bread,eggs;butter,0.2857,0.4,1.4,3,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000047
butter,eggs;bread,0.2857,0.6667,1.5556,3,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000048
eggs;bread,butter,0.2857,0.6667,1.5556,3,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000049
eggs;butter,bread,0.2857,1.0,1.4,3,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000050
butter,eggs;milk;bread,0.1429,0.3333,2.3333,4,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000051
eggs;butter,milk;bread,0.1429,0.5,1.1667,4,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000052
eggs;bread,milk;butter,0.1429,0.3333,1.1667,4,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000053
milk;butter,eggs;bread,0.1429,0.5,1.1667,4,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000054
milk;bread,eggs;butter,0.1429,0.3333,1.1667,4,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000055
eggs;milk;butter,bread,0.1429,1.0,1.4,4,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000056
eggs;milk;bread,butter,0.1429,1.0,2.3333,4,0.2,0.3,1.0,s0.2_c0.3_l1.0,rule_000057
butter,milk;bread,0.2857,0.6667,1.5556,3,0.2,0.3,1.5,s0.2_c0.3_l1.5,rule_000058
milk;bread,butter,0.2857,0.6667,1.5556,3,0.2,0.3,1.5,s0.2_c0.3_l1.5,rule_000059
butter,eggs;bread,0.2857,0.6667,1.5556,3,0.2,0.3,1.5,s0.2_c0.3_l1.5,rule_000060
eggs;bread,butter,0.2857,0.6667,1.5556,3,0.2,0.3,1.5,s0.2_c0.3_l1.5,rule_000061
butter,eggs;milk;bread,0.1429,0.3333,2.3333,4,0.2,0.3,1.5,s0.2_c0.3_l1.5,rule_000062
eggs;milk;bread,butter,0.1429,1.0,2.3333,4,0.2,0.3,1.5,s0.2_c0.3_l1.5,rule_000063
bread,butter,0.4286,0.6,1.4,2,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000064
butter,bread,0.4286,1.0,1.4,2,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000065
butter,milk;bread,0.2857,0.6667,1.5556,3,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000066
milk;butter,bread,0.2857,1.0,1.4,3,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000067
milk;bread,butter,0.2857,0.6667,1.5556,3,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000068
butter,eggs;bread,0.2857,0.6667,1.5556,3,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000069
eggs;bread,butter,0.2857,0.6667,1.5556,3,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000070
eggs;butter,bread,0.2857,1.0,1.4,3,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000071
eggs;butter,milk;bread,0.1429,0.5,1.1667,4,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000072
milk;butter,eggs;bread,0.1429,0.5,1.1667,4,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000073
eggs;milk;butter,bread,0.1429,1.0,1.4,4,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000074
eggs;milk;bread,butter,0.1429,1.0,2.3333,4,0.2,0.5,1.0,s0.2_c0.5_l1.0,rule_000075
butter,milk;bread,0.2857,0.6667,1.5556,3,0.2,0.5,1.5,s0.2_c0.5_l1.5,rule_000076
milk;bread,butter,0.2857,0.6667,1.5556,3,0.2,0.5,1.5,s0.2_c0.5_l1.5,rule_000077
butter,eggs;bread,0.2857,0.6667,1.5556,3,0.2,0.5,1.5,s0.2_c0.5_l1.5,rule_000078
eggs;bread,butter,0.2857,0.6667,1.5556,3,0.2,0.5,1.5,s0.2_c0.5_l1.5,rule_000079
eggs;milk;bread,butter,0.1429,1.0,2.3333,4,0.2,0.5,1.5,s0.2_c0.5_l1.5,rule_000080
