antecedent,consequent,support,confidence,lift,itemset_size,min_support,min_confidence,min_lift,parameter_set,rule_id
rolls/buns;whole milk,other vegetables,0.0176,0.3087,1.6025,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000075
other vegetables;bottled water,whole milk,0.0107,0.4302,1.6537,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000076
whole milk;bottled water,other vegetables,0.0107,0.3083,1.6007,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000077
rolls/buns;yogurt,whole milk,0.0157,0.4481,1.7225,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000078
root vegetables;yogurt,whole milk,0.0139,0.5549,2.1329,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000079
whole milk;tropical fruit,yogurt,0.0148,0.3505,2.4825,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000080
tropical fruit;yogurt,whole milk,0.0148,0.4951,1.9032,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000081
whole milk;whipped/sour cream,yogurt,0.011,0.3408,2.4137,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000082
whipped/sour cream;yogurt,whole milk,0.011,0.5352,2.0572,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000083
soda;yogurt,whole milk,0.0109,0.3807,1.4633,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000084
other vegetables;yogurt,whole milk,0.0225,0.5201,1.9992,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000085
whole milk;yogurt,other vegetables,0.0225,0.3964,2.058,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000086
margarine;other vegetables,whole milk,0.0107,0.5211,2.003,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000087
margarine;whole milk,other vegetables,0.0107,0.4157,2.1583,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000088
butter;other vegetables,whole milk,0.0121,0.5724,2.2002,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000089
butter;whole milk,other vegetables,0.0121,0.4301,2.2326,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000090
other vegetables;pork,whole milk,0.01,0.4894,1.8809,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000091
whole milk;pork,other vegetables,0.01,0.4452,2.3111,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000092
other vegetables;tropical fruit,whole milk,0.016,0.4545,1.7471,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000093
whole milk;tropical fruit,other vegetables,0.016,0.378,1.9624,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000094
soda;other vegetables,whole milk,0.0148,0.4435,1.7046,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000095
soda;whole milk,other vegetables,0.0148,0.3579,1.858,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000096
rolls/buns;yogurt,other vegetables,0.0107,0.3071,1.5941,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000097
other vegetables;tropical fruit,yogurt,0.0118,0.3347,2.3705,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000098
tropical fruit;yogurt,other vegetables,0.0118,0.3932,2.0413,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000099
other vegetables;tropical fruit,root vegetables,0.0113,0.3223,2.9903,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000100
root vegetables;tropical fruit,other vegetables,0.0113,0.5493,2.8517,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000101
other vegetables;whole milk,root vegetables,0.0228,0.3031,2.8119,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000102
other vegetables;root vegetables,whole milk,0.0228,0.5032,1.9342,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000103
whole milk;root vegetables,other vegetables,0.0228,0.4659,2.4186,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000104
root vegetables;tropical fruit,whole milk,0.0113,0.5493,2.1113,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000105
rolls/buns;root vegetables,whole milk,0.0137,0.5562,2.1379,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000106
whole milk;curd,yogurt,0.01,0.3791,2.685,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000107
curd;yogurt,whole milk,0.01,0.5798,2.2287,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000108
bottled water;yogurt,whole milk,0.01,0.4259,1.6371,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000109
root vegetables;yogurt,other vegetables,0.0116,0.4624,2.4007,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000110
other vegetables;domestic eggs,whole milk,0.0122,0.5283,2.0306,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000111
whole milk;domestic eggs,other vegetables,0.0122,0.4221,2.1914,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000112
pip fruit;other vegetables,whole milk,0.0122,0.4941,1.8992,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000113
pip fruit;whole milk,other vegetables,0.0122,0.4221,2.1914,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000114
other vegetables;frozen vegetables,whole milk,0.0103,0.5917,2.2742,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000115
whole milk;frozen vegetables,other vegetables,0.0103,0.4641,2.4092,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000116
other vegetables;whipped/sour cream,whole milk,0.0138,0.5053,1.9423,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000117
whole milk;whipped/sour cream,other vegetables,0.0138,0.426,2.2116,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000118
rolls/buns;root vegetables,other vegetables,0.0122,0.497,2.5804,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000119
citrus fruit;other vegetables,whole milk,0.0131,0.4523,1.7383,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000120
citrus fruit;whole milk,other vegetables,0.0131,0.4091,2.1238,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000121
pastry;other vegetables,whole milk,0.0113,0.4906,1.8856,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000122
pastry;whole milk,other vegetables,0.0113,0.3237,1.6803,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000123
other vegetables;sausage,whole milk,0.011,0.4064,1.5621,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000124
whole milk;sausage,other vegetables,0.011,0.3439,1.7853,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000125
citrus fruit;whole milk,yogurt,0.0106,0.3318,2.35,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000126
citrus fruit;yogurt,whole milk,0.0106,0.474,1.822,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000127
rolls/buns;sausage,whole milk,0.0102,0.3349,1.2874,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000128
whole milk;sausage,rolls/buns,0.0102,0.3167,1.7075,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000129
soda;sausage,rolls/buns,0.0102,0.4094,2.2067,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000130
rolls/buns;sausage,soda,0.0102,0.3349,1.9071,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000131
other vegetables;curd,whole milk,0.0103,0.6174,2.373,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000132
whole milk;curd,other vegetables,0.0103,0.3901,2.0253,3,0.01,0.3,0.5,s0.01_c0.3_l0.5,apriori_all_000133
rolls/buns,whole milk,0.0569,0.307,1.1799,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000134
tropical fruit,whole milk,0.0423,0.4014,1.5428,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000135
frozen meals,whole milk,0.0106,0.3668,1.41,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000136
brown bread,whole milk,0.0263,0.4058,1.5599,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000137
citrus fruit,whole milk,0.032,0.3741,1.4381,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000138
white bread,other vegetables,0.0139,0.3221,1.6724,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000139
other vegetables,whole milk,0.0752,0.3906,1.5015,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000140
white bread,whole milk,0.0167,0.3859,1.4833,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000141
onions,other vegetables,0.0129,0.4428,2.2987,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000142
margarine,other vegetables,0.0206,0.3389,1.7594,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000143
oil,whole milk,0.0105,0.3892,1.4959,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000144
meat,whole milk,0.0112,0.4254,1.6351,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000145
beef,other vegetables,0.0189,0.3662,1.9011,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000146
frankfurter,rolls/buns,0.0196,0.3285,1.7707,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000147
long life bakery product,whole milk,0.0137,0.3658,1.4059,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000148
newspapers,whole milk,0.0289,0.3625,1.3932,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000149
bottled water,whole milk,0.0349,0.3141,1.2074,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000150
coffee,whole milk,0.0195,0.3427,1.3173,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000151
fruit/vegetable juice,whole milk,0.028,0.3697,1.4211,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000152
sugar,whole milk,0.0148,0.4454,1.712,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000153
sugar,other vegetables,0.0106,0.3188,1.6549,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000154
yogurt,whole milk,0.0568,0.4023,1.5462,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000155
pork,whole milk,0.0225,0.4036,1.5515,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000156
berries,whole milk,0.0122,0.3574,1.3739,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000157
pip fruit,whole milk,0.0289,0.3933,1.5116,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000158
butter,whole milk,0.028,0.5052,1.942,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000159
sausage,whole milk,0.0321,0.3405,1.3089,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000160
root vegetables,other vegetables,0.0453,0.4205,2.183,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000161
chicken,other vegetables,0.0177,0.4207,2.184,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000162
root vegetables,whole milk,0.049,0.4542,1.7457,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000163
domestic eggs,whole milk,0.0289,0.4523,1.7384,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000164
pastry,whole milk,0.035,0.3887,1.4941,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000165
margarine,whole milk,0.0259,0.4248,1.6329,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000166
napkins,whole milk,0.0195,0.384,1.4758,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000167
whipped/sour cream,whole milk,0.0324,0.4588,1.7637,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000168
cream cheese,whole milk,0.0161,0.4173,1.6039,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000169
sausage,rolls/buns,0.0304,0.322,1.736,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000170
frankfurter,whole milk,0.0209,0.3504,1.3467,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000171
dessert,whole milk,0.0135,0.3591,1.3802,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000172
berries,yogurt,0.0115,0.3362,2.3809,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000173
berries,other vegetables,0.0107,0.3149,1.6348,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000174
butter,other vegetables,0.0211,0.3796,1.9706,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000175
ham,whole milk,0.0119,0.4432,1.7037,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000176
yogurt,other vegetables,0.0433,0.3066,1.5916,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000177
beef,whole milk,0.0221,0.4282,1.6457,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000178
tropical fruit,other vegetables,0.0352,0.3338,1.7329,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000179
pork,other vegetables,0.0205,0.3672,1.9063,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000180
hamburger meat,other vegetables,0.0138,0.4025,2.0898,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000181
cream cheese,other vegetables,0.0125,0.3233,1.6785,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000182
curd,whole milk,0.0264,0.4919,1.8907,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000183
cream cheese,yogurt,0.0122,0.3158,2.2365,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000184
onions,whole milk,0.0115,0.393,1.5107,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000185
waffles,whole milk,0.0137,0.3481,1.3382,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000186
curd,yogurt,0.0173,0.3216,2.2778,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000187
chicken,whole milk,0.0179,0.4241,1.6302,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000188
hard cheese,whole milk,0.0105,0.4186,1.609,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000189
pip fruit,other vegetables,0.0247,0.336,1.7442,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000190
domestic eggs,other vegetables,0.0231,0.3614,1.876,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000191
frozen vegetables,whole milk,0.0222,0.465,1.7875,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000192
whipped/sour cream,other vegetables,0.0273,0.3868,2.0083,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000193
frozen vegetables,other vegetables,0.0174,0.3647,1.8936,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000194
citrus fruit,other vegetables,0.0289,0.3384,1.757,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000195
sliced cheese,whole milk,0.0115,0.4731,1.8183,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000196
chocolate,whole milk,0.0182,0.3561,1.3688,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000197
hygiene articles,whole milk,0.0131,0.3782,1.4535,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000198
hamburger meat,whole milk,0.0154,0.4492,1.7264,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000199
butter milk,other vegetables,0.0103,0.3757,1.9503,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000200
butter milk,whole milk,0.0122,0.4444,1.7083,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000201
beef,root vegetables,0.0171,0.3324,3.0838,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000202
curd,other vegetables,0.0167,0.3108,1.6136,2,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000203
rolls/buns;tropical fruit,whole milk,0.0112,0.4451,1.7108,3,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000204
other vegetables;fruit/vegetable juice,whole milk,0.0113,0.5166,1.9855,3,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000205
whole milk;fruit/vegetable juice,other vegetables,0.0113,0.4041,2.0981,3,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000206
rolls/buns;other vegetables,whole milk,0.0176,0.4246,1.6319,3,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000207
rolls/buns;whole milk,other vegetables,0.0176,0.3087,1.6025,3,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000208
other vegetables;bottled water,whole milk,0.0107,0.4302,1.6537,3,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000209
whole milk;bottled water,other vegetables,0.0107,0.3083,1.6007,3,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000210
rolls/buns;yogurt,whole milk,0.0157,0.4481,1.7225,3,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000211
root vegetables;yogurt,whole milk,0.0139,0.5549,2.1329,3,0.01,0.3,1.0,s0.01_c0.3_l1.0,apriori_all_000212
